아이디,한자,구자,부수,총획,학년,추가연도,삭제연도,발음,훈음,뜻
1472,天,,大,4,1,,,テン、あめ、（あま）,하늘 천,1.하늘 2.날씨 3.조물주 4.제왕 5.대자연의힘
1473,典,,八,8,4,,,テン,법 전,1.책 2.규칙 3.본 4.바르다 5.의식
1474,店,,广,8,2,,,テン、みせ,가게 점,
1475,点,點,黑,9,2,,,テン,점 점,1.검은점 2.(문장에서)부호 3.(한자의획에서)선이아닌점 4.(경기등의)점수 5.시문의평가를원고에써넣다
1476,展,,尸,10,6,,,テン,펼 전,1.펴다 2.넓어지다 3.늘어놓다 4.내다보다 5.읽다
1477,添,,水,11,S,,,テン、そ-える、そ-う,더할 첨,1.첨부하다 2.덧붙이다 3.더하다
1478,転,轉,車,11,3,,,テン、ころ-がる、ころ-げる、ころ-がす、ころ-ぶ,구를 전,1.돌다 2.뒹굴다 3.뒤집히다 4.장소가변경되다 5.방향·모양이바뀌다
1479,塡,,土,13,S,2010,,テン,메울 전/ 누를 진,1.막다 2.채우다 3.메우다 4.꽉차다
1480,田,,田,5,1,,,デン、た,밭/ 논 전,1.논 2.토지 3.시골 4.논밭모양의장소 5.산지
1481,伝,傳,人,6,4,,,デン、つた-わる、つた-える、つた-う,전할 전,1.전하다 2.잇다 3.말로전하다 4.전단 5.전해오는말
1482,殿,,殳,13,S,,,デン、テン、との、どの,전각 전,1.전당 2.궁전 3.신분이높은사람의거처 4.귀인의존칭 5.맨뒤
1483,電,,雨,13,2,,,デン,번개 전,1.번개 2.전기 3.전신 4.전차 5.번갯불
1484,斗,,斗,4,S,,,ト,말 두,1.용량의단위 2.국자 3.별자리이름 4.科斗かと·おたまじゃくし올챙이 5.열되
1485,吐,,口,6,S,,,ト、は-く,토할 토,1.토하다 2.나타내다 3.음성
1486,妬,,女,8,S,2010,,ト、ねた-む,샘낼 투,
1487,徒,,彳,10,4,,,ト,무리 도,1.걷다 2.맨손 3.헛되게 4.무리 5.제자
1488,途,,辵,10,S,,,ト,길 도,1.길 2.수단 3.首途かどで출발 4.방법
1489,都,都,邑,11,3,,,ト、ツ、みやこ,도읍 도,1.서울 2.도시 3.일본의행정구역의하나 4.우아하다 5.통합하다
1490,渡,,水,12,S,,,ト、わた-る、わた-す,건널 도,1.강·바다를건너다 2.통과하다 3.세상을살아가다 4.외국에가다 5.전해지다
1491,塗,,土,13,S,,,ト、ぬ-る,칠할 도,1.칠하다 2.진흙 3.길 4.애매함 5.바르다
1492,賭,,貝,16,S,2010,,ト、か-ける,내기 도,
1493,土,,土,3,1,,,ド、ト、つち,흙 토,1.땅 2.흙 3.지면 4.토양
1494,奴,,女,5,S,,,ド,종 노,1.<속어>놈 2.욕또는친근감으로부르는말 3.물건 4.<속어>그녀석 5.그자식
1495,努,,力,7,4,,,ド、つと-める,힘쓸 노,1.힘을다함 2.애를씀
1496,度,,广,9,3,,,ド、（ト）、（タク）、たび,법도 도,1.규칙 2.자 3.정도 4.횟수 5.눈금
1497,怒,,心,9,S,,,ド、いか-る、おこ-る,성낼 노,1.성내다 2.거칠다 3.분개하다 4.기세가당당함 5.화내다
1498,刀,,刀,2,2,,,トウ、かたな,칼 도,1.칼 2.도검류(刀劍類) 3.외날의칼 4.(허리에차는) 큰칼
1499,冬,,冫,5,2,,,トウ、ふゆ,겨울 동,겨울
1500,灯,燈,火,6,4,,,トウ、ひ,등불 등,1.등 2.석가의가르침 3.등불
