가 변,辺,へん,あたり、べ
변할 변,変,へん,かわる、かえる
말씀 변,弁,べん,
나눌 별,別,べつ,わかれる
병 병,病,びょう、へい,やむ、やまい
병사 병,兵,へい,
나란히 병,並,へい,なみ、ならべる、ならぶ、ならびに
남녘 병,丙,へい,
아우를 병,併,へい,あわせる、しかし
자루 병,柄,へい,え、がら、つか
병 병,瓶,びん,
담 병,塀,へい,
떡 병,餅,へい,もち
걸음 보,歩,ほ、ぶ、ふ,あるく、あゆむ
지킬 보,保,ほ,たもつ
갚을 보,報,ほう,しらせる、むくいる
보배 보,宝,ほう,たから
기울 보,補,ほ,おぎなう
넓을 보,普,ふ,
족보 보,譜,ふ,
옷 복,服,ふく,
복 복,福,ふく,
회복할 복/ 다시 부,復,ふく,
겹칠 복,複,ふく,
배 복,腹,ふく,はら
엎드릴 복,伏,ふく,ふせる、ふす
종 복,僕,ぼく,
뒤집힐 복/ 덮을 부,覆,ふく,おおう、くつがえす、くつがえる
근본 본,本,ほん,もと
막대 봉,棒,ぼう,
받들 봉,奉,ぶ、ほう,たてまつる
봉할 봉,封,ふう、ほう,
녹 봉,俸,ほう,
봉우리 봉,峰,ほう,みね
벌 봉,蜂,ほう,はち
꿰맬 봉,縫,ほう,ぬう
아비 부,父,ふ,ちち
질 부,負,ふ,まける、まかす、おう
떼 부,部,ぶ,べ
지아비 부,夫,ふ、ふう,おっと
줄 부,付,ふ,つく、つける
마을 부,府,ふ,
버금 부,副,ふく,
며느리 부,婦,ふ,
부유할 부,富,ふ、ふう,とむ、とみ
아닐 부,否,ひ,いな
도울 부,扶,ふ,おもむく
언덕 부,阜,ふ,
붙을 부,附,ふ,つく、つける
갈 부,赴,ふ,おもむく
부고 부,訃,ふ,
뜰 부,浮,ふ,うく、うかれる、うかぶ、うかべる
쪼갤 부,剖,ぼう,
가마솥 부,釜,ふ,かま
부호 부,符,ふ,
썩을 부,腐,ふ,くさる、くされる、くさらす
펼 부,敷,ふ,しく
부세 부,賦,ふ,
살갗 부,膚,ふ,はだ
문서 부,簿,ぼ,
북녘 북/ 달아날 배,北,ほく,きた
나눌 분,分,ぶん、ふん、ぶ,わける、わかれる、わかる、わかつ
가루 분,粉,ふん,こ、こな
떨칠 분,奮,ふん,ふるう
달릴 분,奔,ほん、はしる,
동이 분,盆,ぼん,
어지러울 분,紛,ふん,まぎれる、まぎらす、まぎらわす、まぎらわしい
눈날릴 분,雰,ふん,
뿜을 분,噴,ふん,ふく
분할 분,憤,ふん,いきどおる
무덤 분,墳,ふん,
아니 불/ 아니 부,不,ふ、ぶ,
부처 불,仏,ぶつ,ほとけ
떨칠 불,払,ふつ,はらう
무너질 붕,崩,ほう,くずれる、くずす
사다리 붕,棚,たな,
슬플 비,悲,ひ,かなしい、かなしむ
코 비,鼻,び,はな
